,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,breakEvenPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
140,API3USDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
141,ASTRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
142,HOTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
143,QTUMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
144,IOTAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
145,ETHUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,50000000,BOTH,0.000,0,0,0,0,0
146,LSKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
147,JTOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
148,ADAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0,0,0,0,0,0
149,LITUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
150,ALTUSDT_240426,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
151,STEEMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
152,BIGTIMEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
153,ETHFIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,9223372036854775807,BOTH,0.0,0,0,0,0,0
154,BTCUSDT_240927,0,0,0.00000000,0,0,20,False,0.0,0.0,375000,BOTH,0.000,0,0,0,0,0
155,YFIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.000,0,0,0,0,0
156,USTCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
157,MYROUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
158,ETHUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,15000000,BOTH,0.000,0,0,0,0,0
159,ORDIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
160,ALPHAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
161,WOOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
162,SFPUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
163,RLCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
164,BTCSTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
165,ORDIUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,1000000,BOTH,0.0,0,0,0,0,0
166,1000XECUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
167,FXSUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
168,CFXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,400000,BOTH,0,0,0,0,0,0
169,AUDIOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
170,BADGERUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
171,IDUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
172,HFTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
173,NEOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,400000,BOTH,0.00,0,0,0,0,0
174,UNFIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
